ID;Título;Entidade;Status;Requerente - Requerente;Atribuído - Grupo Técnico;Categoria;Descrição
1;Sistemas | ERP - SINQIA (29390);6;2;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Faturamento cadastrado FO interfere no EM - Desembolso
5) DESCRIÇÃO - ??????????????) : 
Cadastro de faturamento da empresa com valor alto interfere na hora de realizar o desembolso no EM. Para desembolsar tenho que informar valor incorreto e menor no faturamento para conseguir seguir com o desembolso.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
2;Sistemas | ERP - SINQIA (25407);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO - Contabilidade - CO - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Mudança de nº de Lote - Lançamento múltiplo
5) DESCRIÇÃO - ??????????????) : 
Prezados

Realização de lançamento múltiplo com inclusão manual do nº do lote, porém o sistema está mudando o nº do lote informado.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
3;Sistemas | ERP - SINQIA (32663);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Parâmetro tela Relacionamento COSIF x Conta Referencial (RFB) 
5) DESCRIÇÃO - ??????????????) : 
Prezados

Para entrega da ECD (Sped Contábil), precisamos parametrizar a tela de Relacionamento COSIF x Conta Referencial (RFB), precisamos de apoio do time de TI para efetuar os parâmetros sendo que não aparece nenhuma informação nesta tela.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
4;Sistemas | ERP - SINQIA (32647);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Instalação do Sistema - ????
4) DESCRIÇÃO - ??????????????) : 
Prezados

Publicado layout da DERE - DECLARAÇÃO DE REGIMES ESPECÍFICOS, criada por conta da Reforma Tributária.

Trata-se de Regulatório com a finalidade de demonstrar a ''apuração'' do IBS e da CBS para setores específicos como por exemplo Instituições Financeiras.

Em anexo layout publicado no site do Sistema Público de Escrituração Digital - Sped

5) ANEXO - ?? : Documento anexado"
5;Sistemas | ERP - SINQIA (31594);10;4;9;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Agilidade de análise
5) DESCRIÇÃO - ??????????????) : 
Reorganização da esteira de aprovação em comite para inclusão do comite China após comitê Brasil, ambos sem contabilizar tempo de análise.

6) ANEXO - ?? : Nenhum documento anexado"
6;Sistemas | ERP - SINQIA (30119);10;4;9;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Maior acertividade nas análises de crédito
5) DESCRIÇÃO - ??????????????) : 
Verificar a possibilidade de incluir na esteira de crédito a identificação de clientes inadimplentes quando forem solicitadas novas propostas dos mesmo, tendo um status de ''Parcela Vencida'' para uma análise mais aprofundada.

6) ANEXO - ?? : Nenhum documento anexado"
7;Infraestrutura | E-mail (32593);6;2;35;1;252;"DADOS DO FORMULÁRIO

INFRAESTRUTURA - ????

1) SELECIONE A OPÇÃO DESEJADA - ??????? : E-mail - ??
2) SOLICITAÇÃO - ?? : E-mail - bancoxcmg.com.br - ??-- bancoxcmg.com.br
3) SOLICITAÇÃO (E-MAIL - BANCOXCMG.COM.BR) - ?? (E-MAIL - BANCOXCMG.COM.BR) : Manutenção Preventiva - ??????
4) DESCRIÇÃO - ??????????????) : 

PREZADOS,

 

SOLICITO RELATORIO DO SAC, FALE CONOSCO PARA PLATAFORMA GOTO.

DESDE JÁ AGRADEÇO!

5) ANEXO - ?? : Nenhum documento anexado"
8;Equipamentos | Desktop/Laptop/Monitor (31612);17;4;25;1;249;"DADOS DO FORMULÁRIO

EQUIPAMENTOS - ??

1) SELECIONE A OPÇÃO DESEJADA - ??????? : Desktop/Laptop/Monitor - ???/???/???
2) SOLICITAÇÃO - ?? : Falha/Defeito - ??/??
3) DESCRIÇÃO - ??????????????) : 
olá, boa tarde!

peço a gentileza de programarem a troca do laptop que sendo utilizado pela colaboradora Daiane Fagundes.

Motivo: falta de teclas.

4) EVIDÊNCIA(S) - ?? : Documento anexado"
9;Sistemas | ERP - SINQIA (31257);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Erro na contabilização dos valores das contas de compensação
5) DESCRIÇÃO - ??????????????) : 
Solicito a gentileza de seu apoio com o erro nos valores de compensação que vêm acontecendo desde o fechamento de set/2025. O regulatório de créditos tem se perdido ao contabilizar o saldo dos ativos financeiros não problemáticos e para não termos problemas regulatórios eu venho corrigindo via lançamento manual as diferenças conforme demonstrado abaixo:

[c71f22f1-8752cc2f-691e0e352f9f16.01701011]

Preciso do apoio de vocês para que o sistema faça os cálculos adequados para mitigarmos este risco.

Desde já agradeço.

 

Abraços

6) EVIDÊNCIA(S) - ?? : Documento anexado"
10;Sistemas | ERP - SINQIA (32580);33;2;22;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Consulta Base de Dados
5) DESCRIÇÃO - ??????????????) : 
Realizar consulta base de dados com as seguintes informações:

--CNPJ, NOME PJ, CPF PF, NOME PF, DATA NASCIMENTO PF,

--CONTRATOS AMARRADOS AO CNPJ, Valor financiado do contrato, prazo do contratos, se tiver carência prazo somado.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
11;Sistemas | ERP - SINQIA (32547);32;4;34;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Arquivo 8015
5) DESCRIÇÃO - ??????????????) : 
Problemas para a criação de documento 8015 quando a data base está em branco.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
12;Sistemas | ERP - SINQIA (31833);10;2;33;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Erro - Cálculo da provisão
5) DESCRIÇÃO - ??????????????) : 
Boa tarde.

Identificamos um problema na elaboração do regulatório 3040. O total da provisão não bate com a somatória das colunas de perdas específicas (Perda esperada, Perda adicional, Modelo Interno e Perda incorrida).

Aprofundando nas razões, identificamos que se trata do contrato 19800002, em que a provisão total está como 100%, porém a somatória das colunas (incorrida e adicional) geram uma provisão de 101,4%, gerando uma inconsistência no cálculo.

Peço a gentileza de investigar o ocorrido, bem como solicitar a Sinqia a correção para evitarmos problemas no futuro.

Obrigado.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
